Time,Open,High,Low,Close,Volume,Symbol
2025-05-21 04:30:00,15.842,15.861,15.801,15.829,3539.0,LINKUSDT_UMCBL
2025-05-21 04:35:00,15.829,15.984,15.829,15.981,8864.0,LINKUSDT_UMCBL
2025-05-21 04:40:00,15.981,16.006,15.938,15.978,18981.0,LINKUSDT_UMCBL
2025-05-21 04:45:00,15.978,15.997,15.933,15.938,19331.0,LINKUSDT_UMCBL
2025-05-21 04:50:00,15.938,15.938,15.898,15.908,7500.0,LINKUSDT_UMCBL
2025-05-21 04:55:00,15.908,15.908,15.886,15.897,3670.0,LINKUSDT_UMCBL
2025-05-21 05:00:00,15.897,15.955,15.888,15.931,2164.0,LINKUSDT_UMCBL
2025-05-21 05:05:00,15.931,15.957,15.91,15.911,5268.0,LINKUSDT_UMCBL
2025-05-21 05:10:00,15.911,15.95,15.892,15.923,10995.0,LINKUSDT_UMCBL
2025-05-21 05:15:00,15.923,16.007,15.923,16.007,6091.0,LINKUSDT_UMCBL
2025-05-21 05:20:00,16.007,16.033,15.975,16.024,3236.0,LINKUSDT_UMCBL
2025-05-21 05:25:00,16.024,16.049,16.022,16.037,4553.0,LINKUSDT_UMCBL
2025-05-21 05:30:00,16.037,16.087,16.037,16.079,6672.0,LINKUSDT_UMCBL
2025-05-21 05:35:00,16.079,16.079,15.992,15.992,4433.0,LINKUSDT_UMCBL
2025-05-21 05:40:00,15.992,16.013,15.98,16.013,6718.0,LINKUSDT_UMCBL
2025-05-21 05:45:00,16.013,16.024,15.99,16.012,5117.0,LINKUSDT_UMCBL
2025-05-21 05:50:00,16.012,16.052,15.982,16.047,3919.0,LINKUSDT_UMCBL
2025-05-21 05:55:00,16.047,16.067,16.029,16.029,3912.0,LINKUSDT_UMCBL
2025-05-21 06:00:00,16.029,16.051,16.013,16.034,1537.0,LINKUSDT_UMCBL
2025-05-21 06:05:00,16.034,16.05,15.978,15.98,3401.0,LINKUSDT_UMCBL
2025-05-21 06:10:00,15.98,15.981,15.854,15.9,13661.0,LINKUSDT_UMCBL
